127.0.0.1 - - [12/Dec/2023:19:38:59 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:39:01 -0300] "GET /Aula2/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:39:01 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:42:16 -0300] "GET /Aula2/ HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:53:36 -0300] "GET /Aula2/ HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:53:46 -0300] "GET /Aula2/?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:55:31 -0300] "GET /Aula2/?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [12/Dec/2023:19:55:39 -0300] "GET /Aula2/gravarContato.jsp?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:01:32 -0300] "GET /Aula2/gravarContato.jsp?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:09:50 -0300] "GET /Aula2/gravarContato.jsp?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:09:52 -0300] "GET /Aula2/gravarContato.jsp?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:09:54 -0300] "GET /Aula2/?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:09:55 -0300] "GET /Aula2/gravarContato.jsp?nome=&email= HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:11:21 -0300] "GET /Aula2/?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [12/Dec/2023:20:11:28 -0300] "GET /Aula2/gravarContato.jsp?nome=Lucas&email=lucas-galdino-rosa%40hotmail.com HTTP/1.1" 200 74
